jdn_id,jdn_jtp_id,jdn_symbol,jdn_nazwa,jdn_aktywny,jdn_urz_id_wpro,jdn_data_wpro,jdn_urz_id_mod,jdn_data_mod,jdn_jdn_id,jdn_ulica,jdn_nr_bud,jdn_kod_pocztowy,jdn_regon,jdn_nazwa_pelna,jdn_jro_id,jdn_nip,jdn_nip_vat,jdn_nr_sap,jdn_nr_jpk
176,2,GI83/BEM,Gimnazjum Nr 83,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Gimnazjum Nr 83,NULL,NULL,NULL,NULL,1010
177,2,PS205/BEM,Przedszkole Nr 205,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 205,NULL,NULL,NULL,NULL,1012
178,2,PS214/BEM,Przedszkole Nr 214,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 214,NULL,NULL,NULL,NULL,1013
179,2,PS216/BEM,Przedszkole Nr 216,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 216,NULL,NULL,NULL,NULL,1014
180,2,PS215/BEM,Przedszkole Nr 215,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 215,NULL,NULL,NULL,NULL,1015
181,2,PS222/BEM,Przedszkole Nr 222,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 222,NULL,NULL,NULL,NULL,1016
182,2,PS319/BEM,Przedszkole Nr 319,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 319,NULL,NULL,NULL,NULL,1017
183,2,PS320/BEM,Przedszkole Nr 320,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 320,NULL,NULL,NULL,NULL,1018
184,2,PS336/BEM,Przedszkole Nr 336,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 336,NULL,NULL,NULL,NULL,1019
185,2,PS337/BEM,Przedszkole Nr 337,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 337,NULL,NULL,NULL,NULL,1020
186,2,PS371/BEM,Przedszkole Nr 371,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 371,NULL,NULL,NULL,NULL,1021
187,2,PS381/BEM,Przedszkole Nr 381,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 381,NULL,NULL,NULL,NULL,NULL
188,2,PS389/BEM,Przedszkole Nr 389,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 389,NULL,NULL,NULL,NULL,NULL
189,2,PS390/BEM,Przedszkole Nr 390,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 390,NULL,NULL,NULL,NULL,1022
190,2,PS402/BEM,Przedszkole Nr 402,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 402,NULL,NULL,NULL,NULL,1023
191,2,PS406/BEM,Przedszkole Nr 406,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 406,NULL,NULL,NULL,NULL,1024
192,2,PS415/BEM,Przedszkole Nr 415,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 415,NULL,NULL,NULL,NULL,1025
193,2,PS417/BEM,Przedszkole Nr 417,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 417,NULL,NULL,NULL,NULL,1026
194,2,PS63/BEM,Przedszkole Nr 63,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 63,NULL,NULL,NULL,NULL,1027
195,2,PS98/BEM,Przedszkole Nr 98,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr 98,NULL,NULL,NULL,NULL,1028
196,2,PS75/BEM,Przedszkole Nr75,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Przedszkole Nr75,NULL,NULL,NULL,NULL,1029
197,2,SP306/BEM,Szkoła Podstawowa Nr 306,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Szkoła Podstawowa Nr 306,NULL,NULL,NULL,NULL,1030
198,2,SP316/BEM,Szkoła Podstawowa Nr 316,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Szkoła Podstawowa Nr 316,NULL,NULL,NULL,NULL,NULL
199,2,SP/321/BEM,Zespół Szkolno-Przedszkolny Nr 7,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Zespół Szkolno-Przedszkolny Nr 7,NULL,NULL,NULL,NULL,1036
200,2,SP341/BEM,Szkoła Podstawowa Nr 341,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Szkoła Podstawowa Nr 341,NULL,NULL,NULL,NULL,1031
201,2,SP82/BEM,Szkoła Podstawowa Nr 82,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Szkoła Podstawowa Nr 82,NULL,NULL,NULL,NULL,1033
202,2,ZSP2/BEM,Zespół Szkolno - Przedszkolny Nr 2,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Zespół Szkolno - Przedszkolny Nr 2,NULL,NULL,NULL,NULL,1034
203,2,ZS46/BEM,Zespół Szkół Nr 46,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Zespół Szkół Nr 46,NULL,NULL,NULL,NULL,1037
204,2,ZS47/BEM,Zespół Szkół Nr 47,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Zespół Szkół Nr 47,NULL,NULL,NULL,NULL,NULL
205,2,ZS48/BEM,Zespół Szkół Nr 48,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Zespół Szkół Nr 48,NULL,NULL,NULL,NULL,1038
206,2,GI121/BIA,Gimnazjum nr 121 im. Wojciecha Zawadzkiego,1,1,2014-03-27 12:00,NULL,NULL,35,,,,,Gimnazjum nr 121 im. Wojciecha Zawadzkiego,NULL,NULL,NULL,NULL,1044
